Dimension,`N^\circ`,Functions,Families,Relation
`6`,`-`,`-`,`-`,`-`
`7`,`7.1`,`x^{72}+x^{40}+x^{12}+x^{3}`,`-`,`Table 7: No 12.1`
`7`,`7.2`,`x^{33}+x^{17}+x^{12}+x^{3}`,`-`,`Table 7: No 2.2`
`7`,`7.3`,`x^{34}+x^{33}+x^{10}+x^{3}`,`-`,`Table 7: No 10.1`
`7`,`7.4`,`x^{66}+x^{34}+x^{20}+x^{3}`,`-`,`Table 7: No 11.1`
`7`,`7.5`,`x^{68}+x^{18}+x^{5}+x^{3}`,`-`,`Table 7: No 8.1`
`7`,`7.6`,`x^{66}+x^{18}+x^{9}+x^{3}`,`-`,`Table 7: No 9.1`
`8`,`-`,`-`,`-`,`-`
`9`,`-`,`-`,`-`,`-`
`10`,`-`,`-`,`-`,`-`
`11`,`-`,`-`,`-`,`-`
