ID,Representative,Equivalent to,Orthoderivative diff. spec.
9.1,:math:`\alpha^{365}x^{257}+x^{96}+x^{68}+\alpha^{219}x^{33}+x^5`,I 4,":math:`0^{158529},2^{80829},4^{18144},6^{3283},8^{469},10^{294},12^{84}`"
9.2,:math:`\alpha^{438}x^{129}+x^{66}+\alpha^{219}x^{10}+x^3`,I 8,":math:`0^{159418},2^{79275},4^{18690},6^{3213},8^{742},10^{252},12^{21},16^{21}`"
9.3,:math:`x^{136}+x^{24}+x^{17}+\alpha^{73}x^{10}+x^3`,I 3,":math:`0^{159684},2^{78687},4^{19089},6^{3136},8^{777},10^{147},12^{84},14^{28}`"
9.4,:math:`x^{68}+\alpha^{73}x^{40}+x^{33}+x^5`,I 10,":math:`0^{159684},2^{79590},4^{17871},6^{3283},8^{700},10^{273},12^{147},14^{84}`"
9.5,:math:`\alpha^{73}x^{136}+\alpha^{146}x^{66}+\alpha^{219}x^{10}+x^3`,I 16,":math:`0^{159908},2^{79086},4^{18081},6^{3353},8^{721},10^{336},12^{105},14^{21},16^{21}`"
9.6,:math:`x^{264}+\alpha^{73}x^{96}+\alpha^{219}x^{68}+x^5`,I 11,":math:`0^{160020},2^{79023},4^{17997},6^{3213},8^{868},10^{378},12^{133}`"
9.7,:math:`\alpha^{219}x^{136}+x^{10}+x^3`,I 12,":math:`0^{160657},2^{77910},4^{18312},6^{3360},8^{952},10^{273},12^{147},14^{21}`"
9.8,:math:`x^{192}+x^{66}+x^{17}+\alpha^{73}x^{10}+x^3`,I 14,":math:`0^{162183},2^{76482},4^{17388},6^{3871},8^{1162},10^{252},12^{126},14^{126},16^{21},22^{21}`"
9.9,:math:`\alpha^{73}x^{192}+x^{136}+\alpha^{365}x^{129}+x^{17}+x^3`,I 5,":math:`0^{162708},2^{77175},4^{15498},6^{4270},8^{1260},10^{252},12^{168},14^{84},16^{126},18^{42},22^{42},26^7`"
9.10,:math:`\alpha^{73}x^{129}+\alpha^{292}x^{66}+x^{10}+x^3`,I 9,":math:`0^{163009},2^{75537},4^{17283},6^{4116},8^{1071},10^{168},12^{231},14^{28},16^{84},18^{63},20^{42}`"
9.11,:math:`x^{80}+\alpha^{146}x^{66}+\alpha^{73}x^{24}+x^{17}`,I 13,":math:`0^{163366},2^{75117},4^{17010},6^{4536},8^{966},10^{252},12^{63},14^{154},16^{63},18^{84},22^{21}`"
9.12,:math:`x^{129}+\alpha^{73}x^{66}+x^{17}+x^{10}+\alpha^{365}x^3`,I 6,":math:`0^{163996},2^{74802},4^{16380},6^{4368},8^{1449},10^{231},12^{126},14^{84},16^{42},18^{84},20^{42},22^{21},32^7`"
9.13,:math:`\alpha^{73}x^{136}+\alpha^{219}x^{66}+\alpha^{438}x^{10}+x^3`,I 15,":math:`0^{168994},2^{68712},4^{15141},6^{6279},8^{1659},10^{336},12^{21},14^{21},16^{105},18^{147},20^{189},24^{21},26^7`"
9.14,:math:`\alpha^{438}x^{129}+x^{66}+\alpha^{219}x^{17}+x^3`,I 2,":math:`0^{169428},2^{68040},4^{15561},6^{6034},8^{1533},10^{420},12^{126},14^{21},16^{84},18^{189},20^{126},22^{63},26^7`"
9.15,:math:`\alpha^{365}x^{80}+\alpha^{292}x^{24}+\alpha^{219}x^{17}+x^3`,I 17,":math:`0^{170079},2^{66297},4^{16737},6^{6160},8^{1407},10^{420},12^{21},14^{42},16^{63},18^{210},20^{133},22^{63}`"
9.16,:math:`x^{257}+\alpha^{438}x^{68}+\alpha^{219}x^{12}+x^5`,I 7,":math:`0^{171430},2^{64617},4^{16842},6^{5733},8^{1932},10^{483},12^{105},14^{21},16^{147},18^{105},20^{154},22^{21},24^{42}`"
9.17,:math:`x^{80}+\alpha^{73}x^{66}+x^{17}+\alpha^{73}x^{10}+x^3`,B 31,":math:`0^{160440},2^{78834},4^{17514},6^{3388},8^{777},10^{483},12^{126},14^{49},16^{21}`"
9.18,:math:`\alpha^{365}x^{136}+x^{129}+\alpha^{73}x^{80}+x^{24}+x^{17}+x^3`,B 34,":math:`0^{164199},2^{76734},4^{13524},6^{4312},8^{2205},12^{147},16^{294},18^{147},20^{49},22^{21}`"
9.19,:math:`\alpha^{73}x^{320}+x^{96}+\alpha^{219}x^{68}+x^{40}+x^{33}+x^5`,B 35,":math:`0^{172557},2^{68355},4^{12201},6^{3871},8^{1638},10^{735},12^{1470},14^{49},16^{147},18^{441},20^{147},42^{21}`"
